LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,UN
1750975683.000000,142088,20142,2,UN,1,100,94
1750975686.000000,144860,20575,2,UN,1,100,97
1750975689.000000,147538,21005,2,UN,1,100,97
1750975691.000000,150390,21454,2,UN,1,100,97
1750975694.000000,153057,21869,2,UN,1,100,97
1750975697.000000,156241,22365,2,UN,1,100,97
1750975700.000000,158580,22732,2,UN,1,100,97
1750975702.000000,161140,23136,2,UN,1,100,97
1750975705.000000,163804,23550,2,UN,1,100,97
1750975708.000000,166666,23995,2,UN,1,100,97
1750975710.000000,169230,24378,2,UN,1,100,97
1750975713.000000,171792,24785,2,UN,1,100,97
1750975715.000000,174351,25181,2,UN,1,100,98
1750975718.000000,176933,25570,2,UN,1,100,98
1750975720.000000,179367,25951,2,UN,1,100,98
1750975723.000000,181923,26355,2,UN,1,100,98
1750975725.000000,184391,26690,2,UN,1,100,98
1750975728.000000,186947,27093,2,UN,1,100,98
1750975731.000000,189508,27495,2,UN,1,100,98
1750975733.000000,192062,27900,2,UN,1,100,98
1750975736.000000,194534,28296,2,UN,1,100,98
1750975738.000000,197123,28699,2,UN,1,100,97
1750975741.000000,199757,29111,2,UN,1,100,97
1750975743.000000,202409,29512,2,UN,1,100,97
1750975746.000000,204976,29908,2,UN,1,100,97
1750975749.000000,207532,30299,2,UN,1,100,97
1750975751.000000,210293,30726,2,UN,1,100,97
1750975754.000000,212948,31148,2,UN,1,100,97
1750975757.000000,215715,31576,2,UN,1,100,97
1750975759.000000,218276,31978,2,UN,1,100,97
1750975762.000000,220837,32330,2,UN,1,100,97
1750975765.000000,223534,32764,2,UN,1,100,97
1750975767.000000,226168,33176,2,UN,1,100,97
1750975770.000000,228731,33564,2,UN,1,100,97
1750975772.000000,231289,33962,2,UN,1,100,98
1750975775.000000,233849,34365,2,UN,1,100,98
1750975777.000000,236557,34782,2,UN,1,100,98
1750975780.000000,238875,35148,2,UN,1,100,98
1750975782.000000,241422,35544,2,UN,1,100,98
1750975785.000000,244079,35963,2,UN,1,100,98
1750975788.000000,246795,36384,2,UN,1,100,98
1750975790.000000,249317,36780,2,UN,1,100,98
1750975793.000000,251914,37183,2,UN,1,100,98
1750975796.000000,254639,37612,2,UN,1,100,98
1750975798.000000,257298,38031,2,UN,1,100,98
1750975801.000000,259971,38443,2,UN,1,100,98
1750975804.000000,262516,38846,2,UN,1,100,97
1750975806.000000,265017,39243,2,UN,1,100,97
1750975809.000000,267541,39631,2,UN,1,100,97
1750975811.000000,270193,40041,2,UN,1,100,98
1750975814.000000,272860,40460,2,UN,1,100,98
1750975817.000000,275524,40872,2,UN,1,100,98
1750975819.000000,278183,41293,2,UN,1,100,98
1750975822.000000,280738,41689,2,UN,1,100,98
1750975825.000000,283502,42126,2,UN,1,100,98
1750975827.000000,286100,42538,2,UN,1,100,97
1750975830.000000,288738,42940,2,UN,1,100,97
1750975832.000000,291416,43369,2,UN,1,100,97
1750975835.000000,294057,43775,2,UN,1,100,97
1750975838.000000,296612,44171,2,UN,1,100,97
1750975840.000000,299200,44575,2,UN,1,100,97
1750975843.000000,302179,45050,2,UN,1,100,98
1750975846.000000,304699,45436,2,UN,1,100,98
1750975849.000000,307589,45899,2,UN,1,100,98
1750975851.000000,310229,46299,2,UN,1,100,98
1750975854.000000,312798,46697,2,UN,1,100,98
1750975857.000000,315577,47136,2,UN,1,100,98
1750975859.000000,318428,47569,2,UN,1,100,98
1750975862.000000,321111,47998,2,UN,1,100,97
1750975865.000000,323800,48417,2,UN,1,100,97
1750975868.000000,326443,48831,2,UN,1,100,97
1750975870.000000,329416,49301,2,UN,1,100,98
1750975873.000000,332149,49730,2,UN,1,100,98
1750975876.000000,334826,50151,2,UN,1,100,98
1750975878.000000,337375,50549,2,UN,1,100,98
1750975881.000000,340036,50966,2,UN,1,100,98
1750975884.000000,342595,51364,2,UN,1,100,98
1750975886.000000,345361,51800,2,UN,1,100,98
1750975889.000000,347917,52199,2,UN,1,100,98
1750975892.000000,350479,52588,2,UN,1,100,98
1750975894.000000,353242,53018,2,UN,1,100,98
1750975897.000000,356002,53456,2,UN,1,100,98
1750975900.000000,358562,53857,2,UN,1,100,98
1750975902.000000,361234,54274,2,UN,1,100,98
1750975905.000000,363794,54675,2,UN,1,100,98
1750975908.000000,366454,55091,2,UN,1,100,98
1750975911.000000,369556,55576,2,UN,1,100,98
1750975913.000000,372198,55993,2,UN,1,100,98
1750975916.000000,374751,56394,2,UN,1,100,98
1750975918.000000,377306,56794,2,UN,1,100,98
1750975921.000000,379866,57196,2,UN,1,100,98
1750975923.000000,382423,57596,2,UN,1,100,97
1750975926.000000,385090,57998,2,UN,1,100,97
1750975930.000000,388489,58540,2,UN,1,100,96
1750975932.000000,391235,58960,2,UN,1,100,96
1750975935.000000,394012,59406,2,UN,1,100,96
1750975938.000000,396788,59841,2,UN,1,100,97
1750975940.000000,399328,60238,2,UN,1,100,97
1750975943.000000,402110,60674,2,UN,1,100,97
1750975946.000000,404644,61069,2,UN,1,100,97
1750975948.000000,407315,61490,2,UN,1,100,97
1750975951.000000,409864,61887,2,UN,1,100,97
1750975954.000000,412634,62321,2,UN,1,100,97
1750975956.000000,415294,62737,2,UN,1,100,97
1750975959.000000,418180,63187,2,UN,1,100,97
1750975962.000000,420829,63592,2,UN,1,100,97
1750975965.000000,423688,64036,2,UN,1,100,97
1750975968.000000,426467,64472,2,UN,1,100,97
1750975970.000000,429270,64919,2,UN,1,100,97
1750975973.000000,432099,65355,2,UN,1,100,97
1750975976.000000,434852,247,2,UN,1,100,97
1750975979.000000,437417,653,2,UN,1,100,97
1750975981.000000,440199,1096,2,UN,1,100,97
1750975984.000000,443147,1548,2,UN,1,100,97
1750975987.000000,445832,1977,2,UN,1,100,97
1750975990.000000,448508,2398,2,UN,1,100,98
1750975992.000000,451162,2810,2,UN,1,100,98
1750975995.000000,453802,3217,2,UN,1,100,98
1750975998.000000,456480,3633,2,UN,1,100,98
1750976000.000000,459427,4096,2,UN,1,100,98
1750976003.000000,462401,4564,2,UN,1,100,98
1750976006.000000,465386,5039,2,UN,1,100,98
1750976009.000000,468040,5461,2,UN,1,100,98
1750976012.000000,470495,5841,2,UN,1,100,98
1750976015.000000,473494,6325,2,UN,1,100,98
1750976017.000000,476241,6755,2,UN,1,100,98
1750976020.000000,478888,7176,2,UN,1,100,98
1750976023.000000,481649,7603,2,UN,1,100,98
1750976025.000000,484335,8040,2,UN,1,100,98
1750976028.000000,486971,8452,2,UN,1,100,98
1750976031.000000,489954,8902,2,UN,1,100,98
1750976034.000000,492606,9324,2,UN,1,100,97
1750976036.000000,495300,9751,2,UN,1,100,97
1750976039.000000,498145,10204,2,UN,1,100,97
1750976042.000000,500902,10633,2,UN,1,100,97
1750976045.000000,503662,11069,2,UN,1,100,97
1750976048.000000,506547,11529,2,UN,1,100,97
1750976050.000000,509195,11950,2,UN,1,100,97
1750976053.000000,511767,12349,2,UN,1,100,97
1750976056.000000,514756,12813,2,UN,1,100,97
1750976058.000000,517384,13228,2,UN,1,100,98
1750976061.000000,520170,13663,2,UN,1,100,98
1750976064.000000,522936,14100,2,UN,1,100,98
1750976067.000000,525686,14528,2,UN,1,100,98
1750976069.000000,528353,14950,2,UN,1,100,98
1750976072.000000,531032,15378,2,UN,1,100,98
1750976075.000000,533768,15799,2,UN,1,100,98
1750976078.000000,536554,16243,2,UN,1,100,98
1750976080.000000,539195,16650,2,UN,1,100,98
1750976083.000000,541756,17049,2,UN,1,100,98
1750976085.000000,544354,17467,2,UN,1,100,98
1750976088.000000,546986,17882,2,UN,1,100,98
1750976091.000000,549568,18284,2,UN,1,100,98
1750976093.000000,552222,18700,2,UN,1,100,98
1750976096.000000,554875,19103,2,UN,1,100,98
1750976099.000000,557633,19534,2,UN,1,100,98
1750976102.000000,560501,19984,2,UN,1,100,98
1750976104.000000,563286,20431,2,UN,1,100,98
1750976107.000000,566134,20881,2,UN,1,100,98
1750976110.000000,569005,21332,2,UN,1,100,98
1750976113.000000,571762,21765,2,UN,1,100,98
1750976115.000000,574228,22150,2,UN,1,100,97
1750976118.000000,577113,22612,2,UN,1,100,97
1750976121.000000,579757,23031,2,UN,1,100,97
1750976123.000000,582309,23429,2,UN,1,100,97
1750976126.000000,584979,23846,2,UN,1,100,97
1750976129.000000,587758,24293,2,UN,1,100,97
1750976131.000000,590403,24709,2,UN,1,100,97
1750976134.000000,593078,25124,2,UN,1,100,97
1750976137.000000,595618,25526,2,UN,1,100,97
1750976139.000000,598291,25941,2,UN,1,100,97
1750976142.000000,600737,26327,2,UN,1,100,97
1750976144.000000,603400,26741,2,UN,1,100,97
1750976147.000000,606203,27188,2,UN,1,100,97
1750976150.000000,608836,27601,2,UN,1,100,97
1750976152.000000,611387,27988,2,UN,1,100,97
1750976155.000000,614160,28433,2,UN,1,100,97
1750976158.000000,616757,28839,2,UN,1,100,96
1750976160.000000,619388,29251,2,UN,1,100,96
1750976163.000000,622077,29671,2,UN,1,100,96
1750976166.000000,624908,30115,2,UN,1,100,95
1750976169.000000,627474,30504,2,UN,1,100,95
1750976171.000000,630148,30916,2,UN,1,100,95
1750976174.000000,632812,31335,2,UN,1,100,96
1750976177.000000,635503,31751,2,UN,1,100,96
1750976179.000000,637944,32134,2,UN,1,100,96
1750976182.000000,641000,32618,2,UN,1,100,97
1750976185.000000,643448,33000,2,UN,1,100,97
1750976187.000000,646132,33417,2,UN,1,100,97
1750976190.000000,648769,33831,2,UN,1,100,97
1750976192.000000,651346,34233,2,UN,1,100,97
1750976195.000000,653896,34631,2,UN,1,100,97
1750976198.000000,656861,35099,2,UN,1,100,97
1750976201.000000,659433,35496,2,UN,1,100,97
1750976203.000000,662078,35900,2,UN,1,100,97
1750976206.000000,664842,36327,2,UN,1,100,97
1750976209.000000,667528,36734,2,UN,1,100,97
1750976211.000000,670394,37178,2,UN,1,100,97
1750976214.000000,672951,37565,2,UN,1,100,97
1750976217.000000,675498,37962,2,UN,1,100,97
1750976219.000000,678308,38355,2,UN,1,100,97
1750976222.000000,680956,38767,2,UN,1,100,97
1750976225.000000,683592,39172,2,UN,1,100,97
1750976227.000000,686140,39568,2,UN,1,100,97
1750976230.000000,688643,39972,2,UN,1,100,97
1750976232.000000,691181,40373,2,UN,1,100,97
1750976235.000000,693725,40762,2,UN,1,100,97
1750976238.000000,696614,41221,2,UN,1,100,97
1750976240.000000,699180,41610,2,UN,1,100,97
1750976243.000000,701910,42027,2,UN,1,100,97
1750976246.000000,704645,42443,2,UN,1,100,97
1750976248.000000,707243,42848,2,UN,1,100,97
1750976251.000000,710100,43294,2,UN,1,100,97
1750976254.000000,712812,43714,2,UN,1,100,98
1750976257.000000,715947,44160,2,UN,1,100,98
1750976260.000000,718805,44596,2,UN,1,100,98
1750976263.000000,721491,45025,2,UN,1,100,98
1750976266.000000,724562,45508,2,UN,1,100,98
1750976268.000000,727412,45954,2,UN,1,100,98
1750976271.000000,730080,46373,2,UN,1,100,98
1750976274.000000,732759,46792,2,UN,1,100,98
1750976276.000000,735316,47188,2,UN,1,100,98
1750976279.000000,737996,47609,2,UN,1,100,98
1750976282.000000,740629,48020,2,UN,1,100,98
1750976284.000000,743089,48408,2,UN,1,100,98
1750976287.000000,745838,48836,2,UN,1,100,98
1750976290.000000,748508,49255,2,UN,1,100,98
1750976292.000000,751277,49682,2,UN,1,100,98
1750976295.000000,753826,50088,2,UN,1,100,98
1750976298.000000,757224,50613,2,UN,1,100,98
1750976301.000000,760285,51089,2,UN,1,100,98
1750976304.000000,762781,51488,2,UN,1,100,98
1750976307.000000,765421,51892,2,UN,1,100,98
1750976309.000000,767964,52289,2,UN,1,100,98
1750976312.000000,770729,52724,2,UN,1,100,98
1750976314.000000,773394,53137,2,UN,1,100,98
